id,explanation_label,num_chunk_facts,num_expl_facts,tp,fp,fn,precision,recall,f1
5ae3cfe05542990afbd1e1e3,correct,2,2,2,0,0,1.0,1.0,1.0
5ae3cfe05542990afbd1e1e3,incomplete,2,2,2,0,0,1.0,1.0,1.0
5ae3cfe05542990afbd1e1e3,incorrect,2,0,0,0,2,0.0,0.0,0.0
5abc1abf5542993a06baf87f,correct,2,3,0,3,2,0.0,0.0,0.0
5abc1abf5542993a06baf87f,incomplete,2,2,0,2,2,0.0,0.0,0.0
5abc1abf5542993a06baf87f,incorrect,2,2,0,2,2,0.0,0.0,0.0
5ac250eb5542992f1f2b384f,correct,2,2,0,2,2,0.0,0.0,0.0
5ac250eb5542992f1f2b384f,incomplete,2,3,0,3,2,0.0,0.0,0.0
5ac250eb5542992f1f2b384f,incorrect,2,0,0,0,2,0.0,0.0,0.0
5a81a60455429903bc27b990,correct,2,2,0,2,2,0.0,0.0,0.0
5a81a60455429903bc27b990,incomplete,2,1,0,1,2,0.0,0.0,0.0
5a81a60455429903bc27b990,incorrect,2,2,0,2,2,0.0,0.0,0.0
5a70fb2d5542994082a3e482,correct,2,2,1,1,1,0.5,0.5,0.5
5a70fb2d5542994082a3e482,incomplete,2,2,1,1,1,0.5,0.5,0.5
5a70fb2d5542994082a3e482,incorrect,2,2,0,2,2,0.0,0.0,0.0
5a9050925542995651fb512f,correct,8,2,0,2,8,0.0,0.0,0.0
5a9050925542995651fb512f,incomplete,8,0,0,0,8,0.0,0.0,0.0
5a9050925542995651fb512f,incorrect,8,0,0,0,8,0.0,0.0,0.0
5a760b725542994ccc91869a,correct,3,2,0,2,3,0.0,0.0,0.0
5a760b725542994ccc91869a,incomplete,3,2,0,2,3,0.0,0.0,0.0
5a760b725542994ccc91869a,incorrect,3,3,0,3,3,0.0,0.0,0.0
5ae60d88554299546bf83040,correct,3,5,0,5,3,0.0,0.0,0.0
5ae60d88554299546bf83040,incomplete,3,2,0,2,3,0.0,0.0,0.0
5ae60d88554299546bf83040,incorrect,3,3,0,3,3,0.0,0.0,0.0
5a8d9501554299068b959d4d,correct,4,3,0,3,4,0.0,0.0,0.0
5a8d9501554299068b959d4d,incomplete,4,2,0,2,4,0.0,0.0,0.0
5a8d9501554299068b959d4d,incorrect,4,1,0,1,4,0.0,0.0,0.0
5a875ce15542993e715abf16,correct,2,2,1,1,1,0.5,0.5,0.5
5a875ce15542993e715abf16,incomplete,2,2,0,2,2,0.0,0.0,0.0
5a875ce15542993e715abf16,incorrect,2,2,1,1,1,0.5,0.5,0.5
